"","x"
"2756","roundtrip to london oni think i will fyi thats another k you just lost"
"2757","already flight booking problems next weeks trip onthanks for making the choice so easy"
"2758","flight experiences r often frustrating but day on from chi to wpg flight attendant april wasshesof the best"
"2759","also groupis total bs"
"2760","dont ask me to be patient without offering something in return"
"2761","just like clockwork friday afternoon flights from las to den running late flight why does this seem to happen so consistently"
"2762","i will on orall of which will be getting my business"
"2763","free booze for the bach party would make it betterordgtmsywe will enjoy either waythanks"
"2764","i have their name boarding pass was in there tooi think they might really need this any ideas"
"2765","sitting in seat d on a flight back from vegas to chicagosomeone left a folder that looks important in the seat pocket"
"2766","incompetentrude service today missed my connecting flight then the customer service desk was terrible to me really upset w untd"
"2767","terrible experience on on th st exit row in economy has zero legroom have same row booked for return but cant change"
"2768","hours late flightr ive been in transit for a total of twelve hoursplease just change the plane on flight this is ridiculous sfo"
"2769","all good man it isnt your fault that plane is having maintenance issues"
"2770","this delay of flight has been painful i sure hope it doesnt cause me or my luggage to miss my ua flight to new delhi"
"2771","yes but unbelievableshould have a free fare lock"
"2772","‚Äú your puppy is so cute we look forward to having both of you on board thanks for the high five ey‚Äù ˇëèˇëè"
"2773","worst airline 
beware they do not maintain there plain 
been on the runway the pasthours"
"2774","it should be free like other airlines again it‚Äôs not anymore"
"2775","existing reservation is fine i was talking about no longer having an cmhord option gets me in too late flight"
"2776","please tell me im going to make my connecting flight from ohare to ˇôè"
"2777","lindsay anddarnterrible memory on my parti know they are headed back to iad and then pit tonight"
"2778","i know i‚Äôm sure you hear it all the time ‚Äî don‚Äôt like the new seats i‚Äôm a small guy ‚Äô ‚Äù and i feel the new planes are tight"
"2779","how about afterhrs at ord anotheron the tarmacrefuse to move me to an earlier flight you make it up to me"
"2780","ok thanks for the clarification"
"2781","when are you coming back toyou have a huge east bay customer base due to sfo and i miss you"
"2782","also doesnt help me im a very frequent flier and united premiere gold apparently that means nothing"
"2783","delayed another hour"
"2784","as a million mile flier im embarrassed to ask how long ago his launched"
"2785","cant beat the storm out of town if you wait to issue the policy until too late flightnws issued storm warning already"
"2786","do it againi will now miss one or probably both our aspen events"
"2787","dont need your apologies need my bag tookminutes from landing to get it unacceptable"
"2788","add wifi entertainment and the old seats and i‚Äôll come back"
"2789","so we fly into sfo and honululu gets pushed backhours and now it looks like more delaysi beg of you plz sort this out soon"
"2790","thanks i will catch my conection"
"2791","super lame that you chargefor tv on an international flight to the us it isn‚Äôt"
"2792","as for volunteers to give up seats people did now we sit forminutes on plane waitingthem to add more people"
"2793","you going to transfer my car to me toobecause its at the airport you couldnt get me too"
"2794","next time i will not volunteer to let you gate check my bag for space since you obviously cant deliver it in a timely manner"
"2795","im sorry its cold in chicago but i dont see why that means it takesminutes for my priority bag to show up on the carousel"
"2796","how long does it take for customer feedback to respond to a complaint"
"2797","you are making me miss big snow in montana not cool"
"2798","you might be the only airline not offering waiverskeep up the good fight"
"2799","or frontier"
"2800","thank you any help is appreciated"
"2801","fyi went through this on similar flight last week"
"2802","i know where to check my complaint is my ticket said dinner when i booked now its changed to refreshments wheres my refund"
"2803","bag mia since wednesday still no word where it is or if well ever see it again"
"2804","assume those benefits only apply to my own reservation any way my partner on diff res can use them can we combine res"
"2805","or us air"
"2806","we cant all be american airlines i suppose"
"2807","love to report how horrible this flight is to your team lets make it worseas they get to my seatout of all snacks"
"2808","uhuhgroup trying to get out of nashville and into iad today instead of tomorrowwhy be preemptive though"
"2809","thanks for moving my dad on to my my moms flight you helped make his birthday start with awesomenesspaws up"
"2810","you need to get it togetherofflights cancelled flightled stranded with no car and my baggage is lostyou never get it right"
"2811","blood services make your appt today"
"2812","its worth saying that if you litter in singapore you get caned but there are rules says"
"2813","not waiving change fees with the snow storm coming tomorrow iad is under winter storm warning tomorrow already whats up"
"2814","yes ill be sending an email to customer service today"
"2815","im fully aware its just that your rules are harsh toward the client especially since youre going to resell my seat for more"
"2816","why i wont check my carry on watched a handler throw this bagmiss the conveyer beltsat theremin"
"2817","why so i can waste more of time on this airline to get an automated message disappointing as always"
"2818","this means within one week i will have filedcompensation complaints to your website"
"2819","notsure however my ticket included one checked bag therefore this charge was extra and completely unanticipated"
"2820","‚Äú we will follow up with our maintenance team thanks for the tweet kp‚Äù thank youunited cares"
"2821","terribly disappointed confirmed reservation delayed and your cust service staff was not helpful in finding an alternate solution"
"2822","this is for a checkin luggage employee told me not to include wheels in the dimensions"
"2823","dmangencom"
"2824","if i had a ticket refunded which i purchased for my brother to flycould i then used the refunded credit for me to fly respond"
"2825","this is besides the fact that one week ago you delayed me byhours i am not impressed at all"
"2826","its my one and only checked bag which is checked to edinburgh however i am being charged randomly from dc to newark"
"2827","with the purchase of my ticket i am entitled to check inbag however i am being charged an extradollars for domestic transport"
"2828","thank u for the hr delay then boarding us onto a plane that reeks of vomit flight attendant indicated it wasnt cleaned properly"
"2829","i have never been so grossed out in my life what a disappointmentyet againflying with you"
"2830","need to add service dog to my itinerary for tomorrow"
"2831","thanks for delaying my flight for an hour and then boarding us onto a flight that reeks of vomit because it wasnt cleaned properly"
"2832","just landed might want to check flight plane from houston that sound was during takeoff amp landing"
"2833","i cant even look at you right now ill call you when im not so mad"
"2834","dm ed u the request num"
"2835","i requested an online refund option they denied saying the ticket was used hope they understand the problem from your approach"
"2836","nope still sitting at the gate"
"2837","bagage which i take to in the cabin i dont need to checkincorrect"
"2838","exactly"
"2839","the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey"
"2840","yes it is partly used the delewr is used the return flight was cancelled flightled due to technical glitch in operations"
"2841","thank you appreciate the response"
"2842","old school ride home to lax from houston"
"2843","i appreciate you looking can you compensate me on anything for my troubles still havent taken off for aam flight"
"2844","mine is gjqxj husband is cant dm for some reason"
"2845","thank you thank you thank you for contacting me thank you for the offer of a travel certificate"
"2846","another terrible experience with united discrimination delays and no help from customer service"
"2847","hi we are flying into iad tomorrow evening do you expect delays or cancelled flightlations with the snow storm"
"2848","if a business decision is made that inconveniences and possibly causes lost customers is it a good business decision"
"2849","sent a dm just now thanks i am incredibly happy the fast response i got via twitter than via customer care thank you"
"2850","please provide update on uathis flight has been stranded by united with no information from the crew on the plane"
"2851","thanks for reminding me how much easier it is to fly southwestget more agents at sfo"
"2852","perfect that works thank you"
"2853","thats still one day over my visa expiring on junewhich is why i booked my flight on that day"
"2854","followback so i can dm plz"
"2855","miaewr ˇòÑˇòÑˇòÑ excellent crew ewriad ˇòˇòˇò no crew to load bagswaiting w door open freezingmins past departure"
"2856","your customer service is crap"
"2857","thanks for having ground crews that are surprised when flights arrive"
"2858","mechanical issue looks like they got it fixed thanks for your concern"
"2859","sitting on tarmac at ord when there are visibly gates open reassign our gate"
"2860","thanks"
"2861","usually an issue with express our of sfo positive note mainline ps was enjoyable"
"2862","no sato rebooked me just upset that my travel office had to fix this and you couldnt"
"2863","kind of unnerving to watch the guy deicing your plane text on his phone the whole time"
"2864","refreshes my browser right before checkouterror load message ticket price increased in a matter of sec dounotwantmybusiness"
"2865","why is united voted every year as one of the worst airlines do enjoy that title you should give jedediah free passes"
"2866","i think you should board from the back of the plane"
"2867","on the plane but thanks maybe dont let so many people check in by themselvesteeming with morons"
"2868","thanksseat made for ayear old and a broken tvflightsyearmy last on your airline"
"2869","needs deicing stat weve waited our turn"
"2870","yes ive boarded this way many times amp have never had to show my pass on the tarmac multiple times path was railed off onlyway"
"2871","fair enough united everybody is doing the best they can although that slight delay is turning into a cancelled flightlation"
"2872","still waiting on our bag never got delivered yesterday cant reach a real person for help sending dm with ref number"
"2873","worst flight experience ive ever had will never ever fly your airline again"
"2874","why do i have to go thru the details of the flight i want w the recording to then repeat all when a real person gets on the line"
"2875","looks like they came through thanks again for the help"
"2876","anything yet jj"
"2877","why would a person take hours and hours of wait time just to tell a lie"
"2878","hey dm not working ua"
"2879","the refund team is far from customer care courtesy they need training on work ethics so its like sir u r lying how can i help"
"2880","splitting up my flights quadruples the price"
"2881","contd i am being told that i am asking for a refund on a used ticket on a flight that got cancelled flightled how is the ticket used"
"2882","after several trials and several hours of waiting on phone to contact customer care to get my refund all i get is cold shoulder"
"2883","i booked and paid for a flight to get me to denver at a specific time for a meeting you failed it wasnt caused by weather"
"2884","since when did you get so good againtranscontinental flights in hwhat a pleasurerelief you were"
"2885","what i dont understand isnt flight that i paid premium for getting cancelled flighted and the best you can do is next available flight"
"2886","flight is awful only one lavatory functioning and people lining up bumping etc because cant use st class bathroom ridiculous"
"2887","are the current on board food menus available anywhere online"
"2888","airlines is changing its mileageplus program winners and losers"
"2889","actually we arent still parked here"
"2890","can i put sun in my carry on rt ‚Äú right nowwould be a heat wave so enjoy the warmth can you bring some home jj‚Äù"
"2891","thanks"
"2892","thanks for prompt responseanother hour to enjoy vacation perhaps a bug in the app as it still shows"
"2893","why can i only apply one travel certificate per itinerary even when i have multiple flights"
"2894","appreciate the sentiment and you were able to get me off the groundstill missed connection"
"2895","i log in view reservations try view specific reservation amp takes me back to login page"
"2896","it just goes round amp round its be going on for weeks"
"2897","thank you for your prompt assistance"
"2898","times my flight has been delayed and i miss my next flight this time youve lost my baggage no clean clothes flight thx"
"2899","i looked on the email chain and there is not one"
"2900","why the hell do my miles expire was really looking forward to accruing enough for a free flight inyears"
"2901","thanks for more timely updates"
"2902","do you also want the naming rights to my first child so i can fly home and visit with my mother and avoid more winter depression"
"2903","im familiar with the procedure it wouldnt be the first time lost one of my bags"
"2904","i get that but doing it by giving inaccuratemisleading info doesnt seem like a great way to do it"
"2905","cleaning a regional jet takes an hour"
"2906","baggage check in and in flight crew the friendliest ever flightogg to lax"
"2907","thanks that means i haveminutes to make my international connection to hkg"
"2908","kp i am not travelingwe trying to cheer up ms bila"
"2909","you just tried to charge for a flight when i tried to make a change over the phone not including change fee wtf"
"2910","thank you for your offer all sorted out"
"2911","workin on it waiting on him to reply"
"2912","flightrolling delay ofhourminutes"
"2913","i believe just customer service at last post he was at narita in tokyo they sent him to a motel to rest said standby maybe days"
"2914","i think this is the best first class i have ever gottendenver to lax and its wonderful"
"2915","of course not the inflight crew was great"
"2916","well played lo"
"2917","the pilot of just landed this plane like he was gently placing us into a pile of whipped cream smoothest landing ever"
"2918","your website is a complete joke when using safari"
"2919","the new seats on the canadaair regional jets just plain suck"
"2920","im in another countryplease cancelled flight my reservation ive booked through swiss air"
"2921","airlines abuse your expensive video equipment and overcharge you for the privilegevia"
"2922","found the flight on"
"2923","thats the reply lol hoping that at least the new plane was maintained before the flight ˇòí"
"2924","did somebody say flight upgrade"
"2925","dm sent"
"2926","how is it tripitpro has accurate delayed dept times and hours late flightr i hear the same from you just curious"
"2927","i can tell you your airline has lost mine and my families business 
this day and age message through twitter travels fast"
"2928","trying to reach him for the number at last they have him on standbye and gave himmeal voucher for a potentialday standbye"
"2929","this is very disappointing this is about customer service"
"2930","boarded on time deplaned and now minutes delay no transparency during cant wait to give up my gold status for aa"
"2931","my wife sarah stocker did also called but could not connect me to customer service"
"2932","once again i am victim to the scam that is your shit customer service this time the agent hung up on me wtf do you teach your staff"
"2933","flightmy frustration boiled over after dealing with attendant her attitude was ridiculous"
"2934","nice to know thathours of my time is worthfree directtv for everyone ever hear of preventative maintenance"
"2935","that may be true however afterweeks matter is still unresolved and i can not get through to a supervisor or manager to help"
"2936","obviously no one knows a darn thing around herewhat are we to do if this does not get resolved"
"2937","so going forward i shouldnt be flight booking problems star alliance flights through the united app"
"2938","i have those notifications yet the staff on board say that is not accurate and they have no departure time"
"2939","im not know if the seats are actually narrower than other seats but they feel like it or maybe im extra bloated"
"2940","dm sentthis lack if customer service is getting ridiculous"
"2941","delayed going home again getting really tired of delays"
"2942","a big thanks to mn and kn or patiently clarifying the united domestic world to me"
"2943","uhi booked it through the ua website why the price change"
"2944","im rebooked getting homehours late flightr then planned what are the chances ill ever see my bag again"
"2945","united club team is a amp got me a seat late flightr still not sure why a last min ual cancelled flightlation costs meyet overbooked folks get"
"2946","will flight to yyc be providing free food when we are allowed back on boardafter the broken lightbulb"
"2947","i was not looking for the fare to be returned on the companion flightdont understand why an additional fee was necessary"
"2948","thank you so much that helps a ton whoever is on this twitter acct today deserves a handshake and a hot chocolate flight"
"2949","i left headphones in a on from yhzewr its a long shot to see them again but worth a tweet anyway"
"2950","thousand fans of are asking you to give her your utmost effort to get her a safe flight with her baggage soon"
"2951","cant wait"
"2952","flight to be specific the last two were probablyfeet apart and within sight of each other"
"2953","love being told you would issue a refund when you couldnt get us out of the way of a hurricane to have it denied"
"2954","without baggage fordays and cant get an update from houston airport since monday worst service ever"
"2955","yes to three different checkers along the walk to the plane overkill"
"2956","bummer might have to go with card instead ty for response though"
"2957","‚Äú please dm details wed like to help if you need assistance kp‚Äù"
"2958","or im sure her business will go else where for airline travel her name is kathryn sotelo"
"2959","please arrange someone at the arriving gate of flight to chicago for either a refund or first class upgrade"
"2960","made to check in my carry on from flight pbi to newark plane luggage stow not full u r costing me time money amp aggravation"
"2961","i have no way to contact her while she is in flight this does not work for me her father is about to pass and is heading to denver"
"2962","we are on two more flights today lets hope the kit does not get the same treatment"
"2963","thnx"
"2964","please help regarding pnr azzf why am i now waitlisted for a flight"
"2965","just emailed jim compton and jeff smisek so hopefully you pay attention now"
"2966","i hope you have a solution or insurance to cover this issue"
"2967","customer service has no solution and now we might miss a show because of them"
"2968","deserves to go bankrupt just delayed an outbound flight with no info on the connecting flight that were going to miss"
"2969","flt delayed because of maintenancethats fixed but cant board because flight crew didnt stay in boarding area"
"2970","not anymorefinally was ticketedmin before takeoffnot sure why the confusion with a fullfare gsa ticket"
"2971","do miles earned with explorer card count toward lifetime miles"
"2972","yes but they still dont know where it isive been told it might be on a flight but now no one can confirm it"
"2973","what do i do if something is missing from my checked baggage"
"2974","wind chill in ithicadegrees and for the trouble of losing my clothes they give me a tshirt ill burn it for warmth"
"2975","aw thanks for the kind words totally makes these extrahours sitting in an airport soooo much better"
"2976","frontier is currently offering their weather exceptions for this weekend when is united"
"2977","i will be calling customer servicedelayed flights today now luggage misplaced a disaster across the board"
"2978","crew has been notified passenger moved but water not fixed now on tarmac two hours"
"2979","that link is not helpful as it does not put me in touch with management"
"2980","as u might imagine this former pilot was particularly touched by the gesture please let the fo know"
"2981","delayed cmh to ord ran to gatemin b connection door closed no one around ignored by st agent nd super rude"
"2982","i guess the kit kat looks tasty not going near that sandwich"
"2983","worseheaded to laguardia delayedwhy is the tray table the size of a mouse pad and the overhead the size on my pocket"
"2984","now from iah to ewr has broken entertainment system and no wifi despite info on app"
"2985","your customer service is terrible"
"2986","done"
"2987","please send help asap to on flight to chicago seat c"
"2988","define appreciate i doubt the worst major airline in the usa acts on much feedback"
"2989","yea a refund your airline ruined our trip"
"2990","just sentthank you"
"2991","thats wonderful unfortunately doesnt help on thishr flight between to major us cities"
"2992","thanks for delaying our flight for an hour missing our connecting flight and terrible customer service"
"2993","got rebooked on aaone question though do you automatically refund the check baggage fees for flight that was cancelled flightled"
"2994","it is all goodyour k team has been nothing short of amazing with everything"
"2995","new flight has me at the window kind of ticked off i pick aisle seats only because i hate window seats"
"2996","good fly"
"2997","nopehad to rebook through houston so i could get to amarillo before pm stuck in sfo for four hours"
"2998","thanks i made it"
"2999","past"
"3000","thanks just dmed hn"
"3001","is a money sucking airline with terrible terrible customer service"
"3002","are you aware your airbus fleet sucksid rather fly a cfull of rubber dog shit"
"3003","will you be issuing an exception policy for denver for this weekend"
"3004","i need a breakdown of what the international surcharge on my flights cover please help"
"3005","fyi your staff are telling customers to try other carriers"
"3006","couldnt have possibly messed up our trip anymore than they did thanks for being such a terrible airline"
"3007","no wifi on tothats all ps this tech intro video is a joke"
"3008","flight onthx"
"3009","based on suggestions from other passengers i have a rental car on standby forone way or another will be leaving then"
"3010","thanks for the reply the box is not mine and im not missing one it was added to my bag"
"3011","no wifi on flightsf to ord reallywow"
"3012","gives belfast a with the new unmissable format"
"3013","is the worst"
"3014","haha and you have to clean a plane that was held overnight in a hangar sounds lovely also dont lie on screensand say its weather"
"3015","no because you will charge me or delay me further united still waiting"
"3016","how did you save the on checked snowboard trying to check in this morning website wantspremgold"
"3017","traveling from fra thru iad to mco tomorrow concerned abt iad weather cant change until advisory issued any advice"
"3018","i did and then she made me feel guilty because it was economy plus and i didnt pay for the extra leg room"
"3019","my flight cancelled flightled new flight hopefully will not"
"3020","cancelled flightled i will be upset if this one cancelled flights too i could have rented a car if they would have been honest"
"3021","enjoyed lounge so much i almost missed my flight"
"3022","hi flightif i try and book a new one wayflight departure shows up as pm which seems accurate"
"3023","stuck in ord because united cant find their airplane lol terminal right now"
"3024","who can i contact about requesting a charity donation"
"3025","wth be honest with your customersthis better be the last change or we are driving homehas our plane left or not"
"3026","nd time in a rowive been over charged by s ofon my plane ticket why i shouldnt have to check my cc everytime"
"3027","i need a customer service manager to contact me please"
"3028","is flight really going to leave newark todayif not tell us now and i will rent a cari do not want to end up stranded"
"3029","thanks for the reply i saw that but its not particularly helpful to a hungry vegetarian not flying those specific flights shrug"
"3030","so funny that my boarding pass said priority a because clearly i am not a priority to this airline"
"3031","im sure you will offer me nothing for the inconvenience you have put me through twice this month tweets dont cut it"
"3032","or youll cancelled flight my flight like you just did"
"3033","screwing me over twice in one month learned my lesson we are through"
"3034","whats the point of offering a free checked bag of you lose it"
"3035","will do cheers"
"3036","please send me the linkemail to formally compliment irene in slc on some of the best customer service ever"
"3037","thnx lo"
"3038","yes houston intl bush"
"3039","hi myflight from cunewr shows a departure of pm on my united appcan you confirmdoesnt look correctthanks"
"3040","flight from vegas to houston cancelled flighted this morning due to operation what does this mean thank god i woke up early today"
"3041","will do thanks"
"3042","education of that staff is neededhe also turned away other first class cabin passengers with mileage plus"
"3043","item not mine mysteriously ended up in my checked bag after a to flightmissing a black box"
"3044","my guessflight is going to be cancelled flightled because there areempty seats and those who confirmed are not important"
"3045","instead of makingseats smallerthinner so u can jam more people on a flightu should concentrate on maint amp happy customers"
"3046","i need assistance with pulling your agents heads out of their asses"
"3047","gates were definitely not full we were parked and wheels were chocked customer service called it an unmet arrival"
"3048","another glitch"
"3049","in spite of flight delay great customer service provided by janet and baggage employee karen you havewonderful employees united"
"3050","i really have a hard time believing thatplanes in this terminal are all delayed for mechanical issues"
"3051","to start xdaily flights from to on jun"
"3052","flight almost half an hour at the tarmac waiting for papers cannot miss my connection at iah"
"3053","worst airline ever thanks for the slew of rude agents and staff making my delayed flights even worse"
"3054","no chance in hell id rather walk worst airline ever"
"3055","is the worst major us airlinemore proof theyre boarding the plane with the outside galley door open indegree weatherwtf"
"3056","checked inboardingpass wno checkin bagage guess im all set"
"3057","always makes our cross country flights rad heres baby flier charlotte"
"3058","too late flight damage has been done easily the worst airline experience of my life missed two connecting flights amp days of work"
"3059","dont know if you are aware that all of your premier access lines are closed in your terminal i feel the love"
"3060","to on my way to ˇë†ˇáˇáˇë†ˇáˇáˇë†ˇáˇá"
"3061","disappointed to learn you are now charging to use k miles for upgrades on ps jfk flights will be looking at alternatives"
"3062","just kidding with you ill send you my stuff now thanks"
"3063","unacceptable practice to leave cancelled flighted flight passengers to sleep on cement with no pillows"
"3064","can u get the crew member that we are waiting on we were toldminutes ago they landed here and they are still not to our gate"
"3065","flight massive fail they delaying to transport a crew member causing many to miss connections unreal"
"3066","i had the worst customer experience at houston intl airport your ground support even for members is a nightmare"
"3067","tremendous what would you recommend"
"3068","can you help me with a delayed flight as im going to miss my connection"
"3069","im counting on you please dont let me down"
"3070","why is it so impossible to actually get a passenger and their luggage to their final destination"
"3071","huge kudos to the fo of sundays flt sjoiad handed my daughter her first pair of wings keeping traditions alive"
"3072","awesome new plane flight"
"3073","on an early craft arrival because pilot is stuck in traffic"
"3074","oh united how much i despise thee"
"3075","lets see of we can do this today hoping for an ontime dept"
"3076","fltcapt herman is amazing came out before flight to play ask the captain anything wonderful ambassador to the airline"
"3077","your airline is the biggest joke of an operation in the world"
"3078","what is going on with baggage claim in newark"
"3079","usually your lounge staff are fantastic except today in mco where almost denied entry to lounge even though traveling unitedfirst"
"3080","hour delay misplaced bag poor communication and the worse unsympathetic confrontational gate agent not cool"
"3081","why dont you respond to my emails of facebook msg im still wating for my tickets im getting really angry and disappointed"
"3082","then send your jeff smisek on a trip with jetblue or sw and make sure he takes notes i would never choose to fly united again"
"3083","so disappointed in the service and the level of staff communication such a bummer"
"3084","predawn flight to fromannual trip now"
"3085","thanksgreat news that u wont refund tickets due to a bad exchange rate i knew u would come to your senses"
"3086","thank you for a wonderful global first class flight on your to fra great service cont"
"3087","got it look forward to hearing from you soon"
"3088","how are you going to rectify this please direct me to your complaints department"
"3089","thank you united ‚Äú thats a beautiful place to stay a day longer have you been rebooked if not let me know mn‚Äù"
"3090","to top it all off your flight attendants talked loudly throug the flight even when the lights were dimmed resulting in no sleep"
"3091","it seems like no one from united can help me lots of fingers pointed zero people stepping up at least the gate has oreos"
"3092","they have access to the dial that makes it faster do they"
"3093","ill be impressed if i actually get a response ˇòú"
"3094","hi i left my asus tablet on flight to heathrow from newark on th feb and wondered how long it takes for someone to check if found"
"3095","hr delay at the start huge queues at security no representative to meet us rude staff at baggage reclaim"
"3096","has the worst flight attendants they are like those angry and drunk aunts that we all have everything has to be an argument"
"3097","its in black and white eu law and all that ‚Çfor a cancelled flightled flight i want my money"
"3098","accordingly u dont respond at all"
"3099","the extra care airline they dont care trust me there is non existent they dont have"
"3100","another unfortunate case of bad luck usually maintenance issue they are now swapping planes to ont will get in late flight"
"3101","its a shame the great customer service wasnt continued in sfo slightly absurd"
"3102","days and not a word frombad pr guys"
"3103","still awaiting a reply from ur customer servicesdays no response lousy"
"3104","alright thank you much appreciated"
"3105","has happened on other airlines and theyve given out flight vouchers and been more transparent about the problems"
"3106","thanks im booked just spent an extrahrs in the ten w no explanation now flying middle seat to char instead of memphis"
"3107","agent rick clifton in seahoutold him my father is dying and needed to get my handbag on the cabin he did nothing"
"3108","any chance you are allowing reflight booking problems yet for travel out of denver this weekend due to impending storm"
"3109","we all watched as the crew was escorted from the back to st class prebooked reallyyour dissatisfaction is und"
"3110","thanks yup im all setit happensslc ground staff were prompthelpful and courteous"
"3111","there were plenty of empty seats in coachyour dissatisfaction is understood crew members traveling for duty are prebooked on f"
"3112","all good didnt die or anything as they say you get what you pay for"
"3113","thank you so much how will you be able to contact me"
"3114","maybe on my return trip ˇëç"
"3115","your staff at laguardia and lagos nigeria were unprofessional uncaring and not helpful ou"
"3116","i got it at the gate thanks for checking"
"3117","u kept passengers waiting all nighta plane that was being put out of serviceleaving everyone stranded for night"
"3118","i especially like how you upgraded three of your crew members to first class instead of passengers"
"3119","hello i got off a flight a few months ago and constantly think about your peanuts is there anyway you could send me some"
"3120","flt lax to ewr your pilot bragged about getting to ewr early only to waitmin for a jetway driver thanks united"
"3121","i am so happy i found my phone because this is easily the worst system i have ever heard of"
"3122","really hourswe dont like delays and do all we can to avoid them well have you on your way asap"
"3123","after i waited hours in the airport being told one fib after the other why cant ual be honest with its customers"
"3124","round trip"
"3125","well as of yet our checked bag has already vanished and we havent left the airport yet"
"3126","thanksnot tonight it would seem"
"3127","a rapid trip plane ticket from idaho to california that doesnt have problems would be wonderful"
"3128","agent did help me my point theres a problem amp i dont want it to mess up somebody elses plans can u flow this to tech team pls"
"3129","being delayedhours for a one hour flight is more than frustrating im also unable to get a decent meal at this hournever again"
"3130","please do she went above and beyond what she had to do she made us her number one priority"
"3131","you guys are awesome thanks"
"3132","thnx"
"3133","i think we both have the same status nothing i think there was a bug in your search system"
"3134","anna palm springs gatedeserves a medal handledppl missing flights like a pro"
"3135","i would appreciate an answer on why we werent alerted flight had been cancelled flighted until plane landed"
"3136","wtf delay after delayhours yvr to san unacceptable flight crew availability is to blame never again with"
"3137","i think i left my phone on my flight help"
"3138","great customer service again thanks"
"3139","thanks that would be awesome"
"3140","hey left my computer bag wcomputer inside in united filed online report no response"
"3141","they were empty upon takeoff why cant someone sit there"
"3142","here is my case idrequested onnow itsdays ill get a response bs"
"3143","nawww united is my fave airline"
"3144","thanks formed submitted im not betting someone would be honest enough to turn it in though"
"3145","i have a lh return business ticket from den to fraif i fly domestic with youbag can be checked through to frano need to claim"
"3146","also a united phone representative just asked me for my web password is that normal"
"3147","‚Ç is the difference between the booked flights do you want screen shots"
"3148","what is your plan to reduce delays"
"3149","im searching for flights to redeem with miles and getting different search results withuser accounts any reason why"
"3150","rebookedhours after original flight to say your handling of situation was bad would be an understatement"
"3151","i would like a supervisor to talk to now we are waiting for a flight attendant as one just walked off amp left"
"3152","whats your phone number customer service question"
"3153","kids left a kindle fire hdonboard ordsfo today row abcdef we had the whole row amongst theof ushelp"
"3154","understanding the situation we waited and it was opened until pm"
"3155","‚Äú we hope to see you on board soon and thanks for the tweet ey‚Äù ˇëèˇëè"
"3156","just curious when are you going to to finally learn"
"3157","nicesee u have a sense of humor just wantb home but ill settle for that beer once safely in the air of course"
"3158","surprised to go from k last year to nothing this year what happened to the soft landing policy of no more thanlevel"
"3159","pay in person at portland airport i will be flying from perth this has been done by us air"
"3160","she was at the service desk at gateand helped us find a flight to get us to our dest on time when our flight got cancelled flightled"
"3161","thanks but does not answer my question i want to make a reservation over the phone in perth hold for hrs and have family"
"3162","it wasnt a delay so much as a straight cancelled flightlation weather wasnt an issue either"
"3163","thanks for ruining my wedding anniversary flight from ewr to rdu is delayed by overhours and will reach home the nxt day"
"3164","cancelled flightled my flight for some unknown reason and havent really given me anything to make my overnight layover tolerable"
"3165","the only difference being you are both responsible and in a position to do something about them learn from"
"3166","yes my flight was rebooked im just losing trust in you if i want to get anywhere on time"
"3167","thanks keep up the good work"
"3168","reflight booking problemss in lastdays and each time united wait time was lt seconds kudos to you for excellent customer service"
"3169","any solutions"
"3170","what do you have in mind"
"3171","im over you evry st flight i take w you is delayed amp evry nd is on time so its missed evry time"
"3172","i did they did noti did submit a complaint on line and never heard back from thati dont have that id you should find it"
"3173","it is cool your customer told me they didnt care either it is expected"
"3174","is freaking worthless i hate this airline"
"3175","not once did leave on time this week"
"3176","very missed daughter suppose to dpt ord pmdptedpm checked weeks average for shamefulday average pm"
"3177","i understand why the pilot would get on the plane but why st classthere wereempty coach seats near meim a premier k"
"3178","fantastic night of waitinghours for a delayed airplane only for you to alert us flight is cancelled flighted when it lands"
"3179","can someone at the airport in portland or buy a ticket to be picked up and used days late flightr by other from perth australia thanks"
"3180","they did on a delta flight out of lax which is why i should be compensated for my rental car there"
"3181","what happens onam ofspooky me m such spook much scare"
"3182","i missed it set up in a hotel flights delayed in sfo forhours missing all the wedding festivities of my friend ˇòû"
"3183","sent you my confirmation via dm thank you very much"
"3184","board customers onto a plane with no pilot the only thing that expedited was my time in line to book a new flight come on now"
"3185","that would be greatk"
"3186","stuck on tarmac for the last hour can i have a beer"
"3187","recent services have been very bad my nc trip was aweful very disappointed and never again"
"3188","its freezing on the gate bridge"
"3189","landed at pm and have been standing waiting for bags that were loaded plane sidewhy isnt the crew here"
"3190","i need this plane to get to buffalo so i can leave tonight any progress"
"3191","i was rebooked however it would have been nice not to have to wait an extramin at the airporthow will you make this right"
"3192","enough already with the poor service old planes ridiculous routing k and time to find a new airline with status match"
"3193","after waiting for over an hour we finally board the airplane only to find out we have to call maintenance and this plane is coldˇò"
"3194","broke my suitcase amp refuses to give me a repair estimate"
"3195","how do you have a scheduled flight with no crew is there a competent person working at this airline"
"3196","can you help in chicago get to a gate freezing on a runway seems like a crappy thing to do at pm"
"3197","lets go join me on my first trip back to nyc‚Äas a tourist"
"3198","thanks kpwhats going on wtonightbad update online and phone cant u give customers good info not waste their time"
"3199","just got my lost kindle in the mail thanks again"
"3200","is z and d code airfare refundable"
"3201","no didnt notice i was a until start of boarding assumed i was e by time boarding started gas had cleared standbys full flt"
